product_id,product_name,category,brand,price,rating,description
P101,Sony WH-1000XM5 Wireless Headphones,Audio,Sony,399.99,4.8,"Industry leading noise canceling wireless over-ear headphones with 30-hour battery life and crystal clear hands-free calling"
P102,Bose QuietComfort 45,Audio,Bose,329.00,4.7,"Premium noise cancelling wireless headphones with acoustic noise cancelling technology, high-fidelity audio, and comfortable plush ear cushions"
P103,Apple AirPods Pro 2nd Gen,Audio,Apple,249.00,4.8,"True wireless earbuds with active noise cancellation, adaptive transparency, personalized spatial audio, and MagSafe charging case"
P104,Sennheiser Momentum 4 Wireless,Audio,Sennheiser,349.95,4.6,"Audiophile-grade wireless Bluetooth headphones with 60-hour battery life, adaptive ANC, and customizable sound equalizer"
P105,JBL Flip 6 Portable Bluetooth Speaker,Audio,JBL,129.95,4.5,"Waterproof portable Bluetooth speaker with powerful sound, deep bass, 12 hours playtime, and rugged durable design"
P106,Sony SRS-XB13 Wireless Speaker,Audio,Sony,59.99,4.4,"Compact portable waterproof wireless Bluetooth speaker with extra bass, sound diffusion processor, and detachable strap"
P107,Apple MacBook Pro 14 M3,Computers,Apple,1599.00,4.9,"High performance laptop with Apple M3 chip, 14.2-inch Liquid Retina XDR display, 512GB SSD, and 18-hour battery life"
P108,Dell XPS 13 Plus Ultrabook,Computers,Dell,1399.00,4.5,"Sleek premium ultrabook laptop with 13.4-inch OLED touch display, Intel Core i7 13th Gen, 16GB RAM, 512GB SSD"
P109,Lenovo ThinkPad X1 Carbon Gen 11,Computers,Lenovo,1450.00,4.7,"Business laptop with ultralight carbon fiber chassis, Intel Core i7, 16GB RAM, fingerprint reader, and legendary keyboard"
P110,ASUS ROG Zephyrus G14 Gaming Laptop,Computers,ASUS,1499.99,4.6,"Powerful compact gaming laptop with AMD Ryzen 9, NVIDIA GeForce RTX 4060 GPU, 165Hz QHD display, and vapor chamber cooling"
P111,Logitech MX Master 3S Wireless Mouse,Electronics,Logitech,99.99,4.8,"Ergonomic performance wireless mouse with 8K DPI sensor, quiet clicks, electromagnetic MagSpeed scrolling, and multi-device pairing"
P112,Logitech MX Mechanical Wireless Keyboard,Electronics,Logitech,169.99,4.7,"Low-profile tactile mechanical keyboard with smart backlighting, Bluetooth and USB receiver connectivity for multi-OS"
P113,Anker 737 Power Bank 24000mAh,Electronics,Anker,149.99,4.7,"High-speed 140W fast-charging portable charger battery bank with smart digital display for laptops, tablets, and phones"
P114,Samsung 32-inch 4K UHD Smart Monitor M8,Electronics,Samsung,499.99,4.4,"Slim 4K UHD smart monitor with built-in streaming apps, SlimFit camera, USB-C connectivity, and remote control"
P115,Apple Watch Series 9,Wearables,Apple,399.00,4.8,"Smartwatch with advanced health sensors, S9 SiP chip, double tap gesture, always-on Retina display, and ECG heart monitoring"
P116,Samsung Galaxy Watch 6,Wearables,Samsung,299.99,4.5,"Smartwatch with body composition analysis, advanced sleep tracking, personalized HR zones, and sapphire crystal glass"
P117,Garmin Forerunner 265 GPS Running Watch,Wearables,Garmin,449.99,4.8,"Lightweight GPS running smartwatch with colorful AMOLED display, training readiness metrics, triathlon mode, and HRV status"
P118,Fitbit Charge 6 Fitness Tracker,Wearables,Fitbit,159.95,4.3,"Health and fitness tracker with built-in GPS, YouTube Music controls, Google Maps navigation, ECG app, and 7-day battery"
P119,Nespresso VertuoPlus Coffee Maker,Home & Kitchen,Nespresso,169.00,4.6,"Automatic single-serve coffee and espresso machine with centrifusion extraction technology and milk frother bundle compatibility"
P120,Breville Barista Touch Espresso Machine,Home & Kitchen,Breville,999.95,4.8,"Automated touchscreen espresso machine with integrated conical burr grinder, automatic microfoam milk texturing, and thermoJet heating"
P121,Instant Pot Duo 7-in-1 Pressure Cooker,Home & Kitchen,Instant Pot,99.95,4.7,"Multi-use programmable pressure cooker, slow cooker, rice cooker, steamer, sauté, yogurt maker, and food warmer"
P122,Ninja AF101 4-Quart Air Fryer,Home & Kitchen,Ninja,119.99,4.8,"Compact digital air fryer that crisps, roasts, reheats, and dehydrates with wide temperature range and dishwasher-safe basket"
P123,Bowflex SelectTech 552 Adjustable Dumbbells,Fitness,Bowflex,429.00,4.8,"Space-saving adjustable dumbbells pairing from 5 to 52.5 lbs with rapid dial selector mechanism for home gym strength training"
P124,Peloton Guide AI Strength Training,Fitness,Peloton,195.00,4.4,"AI-powered movement tracking device for strength workouts that connects to your TV with rep tracking and form guidance"
P125,Manduka PRO Yoga and Pilates Mat,Fitness,Manduka,138.00,4.7,"Ultra-dense high-performance yoga mat with lifetime guarantee, joint protection, and non-slip textured grip surface"
